Origem,Pergunta,Temas
27 perguntas Dani,O que faz você mais feliz na sua vida? O que te anima?,Autoconhecimento/Valores
27 perguntas Dani,"Se você confiasse que a sua arte (sua criatividade) fosse capaz de te sustentar, como você iria viver?",Autoconhecimento/Valores
27 perguntas Dani,Quando foi a Última vez em que você se sentiu em total sintonia com uma atividade a ponto de perder completamente a noção do tempo? O que você estava fazendo?,"Autoconhecimento/Valores, Experiências Passadas"
27 perguntas Dani,"Fora das suas atuais obrigações no trabalho, o que você amaria fazer de graça?",Carreira/Futuro
27 perguntas Dani,Sobre que carreiras você se pega constantemente sonhando acordado? Que trabalho que outros tem que você deseja que fosse o seu trabalho?,Carreira/Futuro
27 perguntas Dani,Quais os 3 a 5 trabalhos ou negócios dos sonhos que você imagina que iriam se encaixar como uma luva com os seus mais Íntimos pensamentos a respeito do mundo? O céu é o limite.,Carreira/Futuro
27 perguntas Dani,Quando foi a Última vez que você não conseguia dormir por causa da sua empolgação a respeito de um trabalho? Que trabalho foi esse?,"Carreira/Futuro, Experiências Passadas"
27 perguntas Dani,Imagine que você ganhou R$127 milhões na Mega Sena. Passaram-se 6 meses após pegar o seu prêmio. O que você faria amanhã (amanhã = 6 meses + 1 dia)?,Cotidiano/Preferências
27 perguntas Dani,"Se você pudesse escrever um livro para ajudar ao mundo, que viraria garantidamente um best seller, qual seria o tÍtulo? Sobre o que seria esse livro?",Cotidiano/Preferências
27 perguntas Dani,Quando foi a Última vez que você entregou muito mais do que você prometeu alguma coisa? O que foi isso e por que você deu duro de verdade trabalhando nisso?,Experiências Passadas
27 perguntas Dani,"O que te deixa mais preocupado ou com pena sobre as futuras gerações, tenha você filhos ou não?",Família
27 perguntas Dani,O que você faz que faz com que você se sinta invencÍvel?,Sem classificação
27 perguntas Dani,O que faz outras pessoas serem gratas a você?,Sem classificação
27 perguntas Dani,O que você é absurdamente bom em fazer? Quais são seus dons mais valiosos? Qual seu super poder?,Sem classificação
27 perguntas Dani,Quem é uma referência pra você? Quem são seus mentores? Quem te inspira? Por quê?,Sem classificação
27 perguntas Dani,O que você faria se soubesse que não existe a possibilidade de falha (fracasso)?,Sem classificação
27 perguntas Dani,"Se você pudesse ter ou fazer qualquer coisa que quisesse, o que você teria ou faria?",Sem classificação
27 perguntas Dani,Que assuntos você se vê constantemente discutindo ou defendendo seu ponto de vista com outras pessoas? Que pensamentos internos esse seu posicionamento representa?,Sem classificação
27 perguntas Dani,"O que te deixa mais revoltado em relação ao mundo em que vivemos e as pessoas? Com recursos ilimitados, de que forma você resolveria isso?",Sem classificação
27 perguntas Dani,Em que você gosta de ajudar outras pessoas? De que forma você normalmente mais ajuda os outros?,Sem classificação
27 perguntas Dani,Qual a sua sessão favorita em uma livraria? Qual a primeira revista que você pega em uma banca de jornal?,Sem classificação
27 perguntas Dani,"Se você pudesse participar do seu próprio funeral, daqui uns 60 anos, o que você gostaria de ouvir os outros falando? (não vale ""olha, ele está vivo"")",Sem classificação
27 perguntas Dani,Pelo que você gostaria de ser lembrado? Qual a marcar que você quer deixar no mundo?,Sem classificação
27 perguntas Dani,"O que os seus amigos sempre falam que você faria bem, que você deveria trabalhar com isso? (ele seria um excelente...). Se não sabe/lembra, pergunte a 5 deles (sério)",Sem classificação
27 perguntas Dani,O que desperta em você uma curiosidade natural?,Sem classificação
27 perguntas Dani,"Se você tivesse agora uma hora livre pra navegar na internet, o que você exploraria? (não vale redes sociais)",Sem classificação
27 perguntas Dani,"Quando você tinha 5 ou 10 anos de idade, o que você queria ser quando crescesse? Vale tudo, até ""astronauta"". Que habilidades e comparações/metáforas isso pode representar?",Sem classificação
27 perguntas Dani,Que revolução você gostaria de liderar?,Sem classificação
Chat GPT,Qual foi o maior aprendizado que você já teve em um trabalho?,Trabalho
Chat GPT,Como você lida com um chefe difícil?,Trabalho
Chat GPT,"Se pudesse mudar uma regra no ambiente de trabalho, qual seria?",Trabalho
Chat GPT,Prefere trabalhar em equipe ou sozinho? Por quê?,Trabalho
Chat GPT,Qual é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Qual foi a aventura mais inesquecível que você viveu com amigos?,Amigos
Chat GPT,O que mais valoriza em uma amizade?,Amigos
Chat GPT,Você prefere poucos amigos próximos ou muitos conhecidos?,Amigos
Chat GPT,Já perdeu uma amizade importante? O que aprendeu com isso?,Amigos
Chat GPT,Qual é a lembrança mais engraçada com amigos?,Amigos
Chat GPT,Qual tradição de família você mais gosta?,Família
Chat GPT,Qual foi o melhor conselho que recebeu de alguém da sua família?,Família
Chat GPT,"Se pudesse mudar algo na forma como foi criado, o que seria?",Família
Chat GPT,Qual lembrança da infância você mais guarda no coração?,Família
Chat GPT,O que aprendeu com sua família que leva para a vida?,Família
Chat GPT,O que considera essencial para um relacionamento dar certo?,Casais/Relacionamentos
Chat GPT,Qual foi o gesto mais marcante que já recebeu de alguém que amava?,Casais/Relacionamentos
Chat GPT,Você acredita em amor à primeira vista?,Casais/Relacionamentos
Chat GPT,Como você lida com os conflitos em um relacionamento?,Casais/Relacionamentos
Chat GPT,Qual viagem romântica você gostaria de fazer?,Casais/Relacionamentos
Chat GPT,Qual foi a maior mudança que já fez em sua vida?,Autoconhecimento
Chat GPT,"Se pudesse escolher uma habilidade para dominar, qual seria?",Autoconhecimento
Chat GPT,Qual é o seu maior medo atualmente?,Autoconhecimento
Chat GPT,Que hábito você gostaria de desenvolver?,Autoconhecimento
Chat GPT,O que faz você se sentir mais vivo?,Autoconhecimento
Chat GPT,Qual é o seu prato favorito para um dia de descanso?,Cotidiano/Leveza
Chat GPT,Prefere praia ou montanha?,Cotidiano/Leveza
Chat GPT,"Se pudesse viver em qualquer cidade do mundo, qual escolheria?",Cotidiano/Leveza
Chat GPT,Qual música sempre melhora seu humor?,Cotidiano/Leveza
Chat GPT,"Se fosse escolher um superpoder para usar no dia a dia, qual seria?",Cotidiano/Leveza
Chat GPT,Como você lida com os conflitos em um relacionamento?,Casais/Relacionamentos
Chat GPT,Já perdeu uma amizade importante? Algo que aprendeu com isso?,Amigos
Chat GPT,Que foi o gesto mais marcante que já recebeu de alguém que amava?,Casais/Relacionamentos
Chat GPT,Que é a lembrança mais engraçada com amigos?,Amigos
Chat GPT,Que foi a aventura mais inesquecível que você viveu com amigos?,Amigos
Chat GPT,Que foi o gesto mais marcante que já recebeu de alguém que amava?,Casais/Relacionamentos
Chat GPT,Você acredita em amor à primeira vista?,Casais/Relacionamentos
Chat GPT,Que viagem romântica você gostaria de fazer?,Casais/Relacionamentos
Chat GPT,Que foi o maior aprendizado que você já teve em um trabalho?,Trabalho
Chat GPT,"Se pudesse mudar algo na forma como foi criado, o que seria?",Família
Chat GPT,"Se pudesse mudar algo na forma como foi criado, o que seria?",Família
Chat GPT,Que é a lembrança mais engraçada com amigos?,Amigos
Chat GPT,"Se pudesse mudar algo na forma como foi criado, o que seria?",Família
Chat GPT,Prefere trabalhar em equipe ou sozinho? Por quê?,Trabalho
Chat GPT,Que foi o melhor conselho que recebeu de alguém da sua família?,Família
Chat GPT,Como você lida com os conflitos em um relacionamento?,Casais/Relacionamentos
Chat GPT,Que é o seu prato favorito para um dia de descanso?,Cotidiano/Leveza
Chat GPT,Que viagem romântica você gostaria de fazer?,Casais/Relacionamentos
Chat GPT,Prefere trabalhar em equipe ou sozinho? Por quê?,Trabalho
Chat GPT,Que é o seu prato favorito para um dia de descanso?,Cotidiano/Leveza
Chat GPT,Como você lida com os conflitos em um relacionamento?,Casais/Relacionamentos
Chat GPT,Prefere praia ou montanha?,Cotidiano/Leveza
Chat GPT,Algo que aprendeu com sua família que leva para a vida?,Família
Chat GPT,Que foi o maior aprendizado que você já teve em um trabalho?,Trabalho
Chat GPT,Que foi a maior mudança que já fez em sua vida?,Autoconhecimento
Chat GPT,Que foi a aventura mais inesquecível que você viveu com amigos?,Amigos
Chat GPT,Que é o seu prato favorito para um dia de descanso?,Cotidiano/Leveza
Chat GPT,Que foi o maior aprendizado que você já teve em um trabalho?,Trabalho
Chat GPT,Que lembrança da infância você mais guarda no coração?,Família
Chat GPT,Que foi a maior mudança que já fez em sua vida?,Autoconhecimento
Chat GPT,Algo que faz você se sentir mais vivo?,Autoconhecimento
Chat GPT,Que é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Prefere praia ou montanha?,Cotidiano/Leveza
Chat GPT,Como você lida com um chefe difícil?,Trabalho
Chat GPT,Que lembrança da infância você mais guarda no coração?,Família
Chat GPT,Como você lida com os conflitos em um relacionamento?,Casais/Relacionamentos
Chat GPT,Que hábito você gostaria de desenvolver?,Autoconhecimento
Chat GPT,Que é a lembrança mais engraçada com amigos?,Amigos
Chat GPT,Algo que considera essencial para um relacionamento dar certo?,Casais/Relacionamentos
Chat GPT,Que é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Algo que faz você se sentir mais vivo?,Autoconhecimento
Chat GPT,Algo que faz você se sentir mais vivo?,Autoconhecimento
Chat GPT,Que foi a aventura mais inesquecível que você viveu com amigos?,Amigos
Chat GPT,Que é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Que tradição de família você mais gosta?,Família
Chat GPT,"Se pudesse mudar uma regra no ambiente de trabalho, qual seria?",Trabalho
Chat GPT,Que foi o maior aprendizado que você já teve em um trabalho?,Trabalho
Chat GPT,Que é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Que é o seu maior medo atualmente?,Autoconhecimento
Chat GPT,"Se pudesse viver em qualquer cidade do mundo, qual escolheria?",Cotidiano/Leveza
Chat GPT,Que é o seu prato favorito para um dia de descanso?,Cotidiano/Leveza
Chat GPT,Algo que mais valoriza em uma amizade?,Amigos
Chat GPT,Que foi o maior aprendizado que você já teve em um trabalho?,Trabalho
